user, #gpu, model, submitTime, queuingTime, scheduleTime, JCT, runningTime, finishTime, avgN, avgMM, fairness
user1, 8, ResNeXt, 0, 0, 0, 1319, 1319, 1319, 1.87, 8.00, 1.02
user2, 8, BERTLARGE, 141, 0, 141, 1152, 1152, 1293, 2.00, 8.00, 1.11
user3, 16, ResNet50, 2044, 0, 2044, 7598, 7598, 9642, 6.88, 7.44, 0.68
user4, 16, BERTLARGE, 3321, 0, 3321, 10779, 10779, 14100, 7.87, 6.00, 0.77
user5, 4, ResNet50, 3413, 0, 3413, 3722, 3722, 7135, 8.08, 4.00, 1.04
user6, 16, BERTLARGE, 3668, 0, 3668, 11908, 11908, 15576, 7.77, 5.92, 0.84
user7, 8, GNMT, 3796, 0, 3796, 3641, 3641, 7437, 8.65, 4.84, 0.77
user8, 16, GPT2-SMALL, 4174, 0, 4174, 10910, 10910, 15084, 8.02, 5.64, 0.85
user9, 16, ResNet50, 4175, 0, 4175, 15887, 15887, 20062, 7.27, 6.85, 1.30
user10, 8, GNMT, 4185, 0, 4185, 1459, 1459, 5644, 9.17, 4.46, 0.58
user11, 16, VGG19-I, 4594, 0, 4594, 20202, 20202, 24796, 7.24, 6.97, 1.20
user12, 16, BERTLARGE, 4990, 0, 4990, 11926, 11926, 16916, 7.48, 6.21, 0.89
user13, 8, GPT2-SMALL, 7102, 0, 7102, 1859, 1859, 8961, 8.68, 4.62, 0.99
user14, 8, GPT2-SMALL, 8065, 0, 8065, 1086, 1086, 9151, 8.83, 4.54, 0.61
user15, 1, BERTLARGE, 9934, 0, 9934, 1492, 1492, 11426, 9.90, 1.00, 1.12
user16, 1, VGG19-I, 9934, 0, 9934, 1346, 1346, 11280, 10.00, 1.00, 1.01
user17, 1, BERTLARGE, 9934, 0, 9934, 1772, 1772, 11706, 9.56, 1.00, 1.22
user18, 1, ResNeXt, 9934, 0, 9934, 1699, 1699, 11633, 9.67, 1.00, 1.00
user19, 1, ResNet50, 13328, 0, 13328, 1894, 1894, 15222, 6.45, 1.00, 1.11
user20, 16, GPT2-SMALL, 14995, 0, 14995, 1457, 1457, 16452, 5.04, 8.24, 0.65
user21, 8, ResNeXt, 15831, 0, 15831, 1554, 1554, 17385, 4.20, 8.00, 1.02
user22, 1, GNMT, 17222, 0, 17222, 1187, 1187, 18409, 4.43, 1.00, 0.95
user23, 16, ResNet50, 17760, 0, 17760, 14038, 14038, 31798, 6.78, 7.07, 1.15
user24, 8, GPT2-SMALL, 17929, 0, 17929, 1305, 1305, 19234, 7.03, 6.77, 0.91
user25, 8, ResNeXt, 18251, 0, 18251, 1545, 1545, 19796, 8.00, 6.44, 0.79
user26, 8, VGG19-I, 18251, 0, 18251, 1371, 1371, 19622, 8.00, 6.34, 0.76
user27, 1, GNMT, 18325, 0, 18325, 3379, 3379, 21704, 8.21, 1.00, 1.05
user28, 1, ResNeXt, 18707, 0, 18707, 1575, 1575, 20282, 8.17, 1.00, 0.98
user29, 2, ResNeXt, 19160, 0, 19160, 1578, 1578, 20738, 8.35, 2.00, 0.99
user30, 8, ResNet50, 19321, 0, 19321, 2933, 2933, 22254, 8.59, 5.96, 0.83
user31, 8, VGG19-I, 19854, 0, 19854, 3685, 3685, 23539, 8.08, 6.35, 1.06
user32, 8, GNMT, 20108, 0, 20108, 4007, 4007, 24115, 7.61, 6.52, 1.09
user33, 8, GNMT, 20292, 0, 20292, 2262, 2262, 22554, 8.72, 5.60, 0.79
user34, 8, VGG19-I, 20450, 0, 20450, 2096, 2096, 22546, 8.78, 5.55, 0.78
user35, 1, VGG19-I, 21278, 0, 21278, 1067, 1067, 22345, 9.27, 1.00, 0.98
user36, 1, ResNet50, 21668, 0, 21668, 1620, 1620, 23288, 8.11, 1.00, 1.03
user37, 1, GNMT, 22004, 0, 22004, 1600, 1600, 23604, 7.45, 1.00, 1.14
user38, 16, GPT2-SMALL, 22592, 0, 22592, 10094, 10094, 32686, 6.02, 7.43, 1.08
user39, 4, GPT2-SMALL, 23768, 0, 23768, 1448, 1448, 25216, 5.05, 4.00, 1.09
user40, 16, ResNet50, 24148, 0, 24148, 10605, 10605, 34753, 5.33, 8.72, 1.26
user41, 8, BERTLARGE, 24879, 0, 24879, 2286, 2286, 27165, 5.43, 7.50, 1.07
user42, 8, ResNeXt, 25025, 0, 25025, 2319, 2319, 27344, 5.50, 7.41, 0.94
user43, 16, ResNet50, 26550, 0, 26550, 9567, 9567, 36117, 4.79, 9.83, 1.26
user44, 8, ResNeXt, 26990, 0, 26990, 3919, 3919, 30909, 6.74, 6.30, 0.93
user45, 8, VGG19-I, 27654, 0, 27654, 1031, 1031, 28685, 6.00, 6.67, 0.81
user46, 8, ResNet50, 28831, 0, 28831, 983, 983, 29814, 6.98, 5.74, 0.76
user47, 16, ResNet50, 28853, 0, 28853, 4706, 4706, 33559, 6.06, 7.92, 1.08
user48, 1, ResNeXt, 29983, 0, 29983, 1096, 1096, 31079, 8.33, 1.00, 1.04
user49, 8, ResNeXt, 30115, 0, 30115, 2082, 2082, 32197, 7.33, 6.38, 1.03
user50, 1, VGG19-I, 30416, 0, 30416, 1419, 1419, 31835, 7.79, 1.00, 1.01
