user, #gpu, model, submitTime, queuingTime, scheduleTime, JCT, runningTime, finishTime, avgN, avgMM, fairness
user1, 8, ResNeXt, 0, 0, 0, 1258, 1258, 1258, 1.89, 8.00, 0.98
user2, 8, BERTLARGE, 142, 0, 142, 1169, 1169, 1311, 1.95, 8.00, 1.12
user3, 16, ResNet50, 2045, 0, 2045, 9493, 9493, 11538, 7.92, 6.79, 0.77
user4, 16, BERTLARGE, 3321, 0, 3321, 10749, 10749, 14070, 8.37, 5.66, 0.73
user5, 4, ResNet50, 3413, 0, 3413, 3716, 3716, 7129, 8.37, 4.00, 1.04
user6, 16, BERTLARGE, 3669, 0, 3669, 12539, 12539, 16208, 8.16, 5.59, 0.83
user7, 8, GNMT, 3794, 0, 3794, 4924, 4924, 8718, 9.10, 4.57, 0.98
user8, 16, GPT2-SMALL, 4173, 0, 4173, 12688, 12688, 16861, 8.19, 5.48, 0.96
user9, 16, ResNet50, 4174, 0, 4174, 14063, 14063, 18237, 8.00, 5.64, 0.95
user10, 8, GNMT, 4186, 0, 4186, 2554, 2554, 6740, 9.53, 4.26, 0.97
user11, 16, VGG19-I, 4593, 0, 4593, 15682, 15682, 20275, 8.10, 5.68, 0.76
user12, 16, BERTLARGE, 4992, 0, 4992, 14292, 14292, 19284, 8.00, 5.70, 0.98
user13, 8, GPT2-SMALL, 7105, 0, 7105, 2134, 2134, 9239, 9.32, 4.30, 1.06
user14, 8, GPT2-SMALL, 8064, 0, 8064, 2046, 2046, 10110, 9.24, 4.50, 1.15
user15, 1, BERTLARGE, 9934, 0, 9934, 1375, 1375, 11309, 11.13, 1.00, 1.04
user16, 1, VGG19-I, 9934, 0, 9934, 1401, 1401, 11335, 11.11, 1.00, 1.05
user17, 1, BERTLARGE, 9933, 0, 9933, 1617, 1617, 11550, 10.82, 1.00, 1.12
user18, 1, ResNeXt, 9934, 0, 9934, 1769, 1769, 11703, 10.49, 1.00, 1.04
user19, 1, ResNet50, 13329, 0, 13329, 1757, 1757, 15086, 6.47, 1.00, 1.03
user20, 16, GPT2-SMALL, 14996, 0, 14996, 3613, 3613, 18609, 6.56, 6.59, 1.29
user21, 8, ResNeXt, 15831, 0, 15831, 2716, 2716, 18547, 6.66, 6.60, 1.49
user22, 1, GNMT, 17221, 0, 17221, 1195, 1195, 18416, 7.16, 1.00, 0.96
user23, 16, ResNet50, 17759, 0, 17759, 9841, 9841, 27600, 6.96, 7.24, 0.82
user24, 8, GPT2-SMALL, 17930, 0, 17930, 1961, 1961, 19891, 8.51, 5.86, 1.18
user25, 8, ResNeXt, 18252, 0, 18252, 2786, 2786, 21038, 8.79, 5.69, 1.26
user26, 8, VGG19-I, 18252, 0, 18252, 2398, 2398, 20650, 8.89, 5.71, 1.20
user27, 1, GNMT, 18326, 0, 18326, 3270, 3270, 21596, 8.57, 1.00, 1.01
user28, 1, ResNeXt, 18706, 0, 18706, 1563, 1563, 20269, 8.81, 1.00, 0.97
user29, 2, ResNeXt, 19160, 0, 19160, 1561, 1561, 20721, 9.22, 2.00, 0.98
user30, 8, ResNet50, 19320, 0, 19320, 3554, 3554, 22874, 8.59, 5.89, 1.00
user31, 8, VGG19-I, 19855, 0, 19855, 3752, 3752, 23607, 8.24, 6.03, 1.02
user32, 8, GNMT, 20107, 0, 20107, 4240, 4240, 24347, 7.48, 6.38, 1.13
user33, 8, GNMT, 20291, 0, 20291, 3424, 3424, 23715, 7.96, 6.15, 1.31
user34, 8, VGG19-I, 20451, 0, 20451, 3022, 3022, 23473, 8.18, 6.04, 1.22
user35, 1, VGG19-I, 21278, 0, 21278, 1057, 1057, 22335, 8.24, 1.00, 0.97
user36, 1, ResNet50, 21669, 0, 21669, 1667, 1667, 23336, 8.37, 1.00, 1.06
user37, 1, GNMT, 22004, 0, 22004, 1377, 1377, 23381, 8.41, 1.00, 0.98
user38, 16, GPT2-SMALL, 22592, 0, 22592, 9030, 9030, 31622, 5.86, 7.85, 1.02
user39, 4, GPT2-SMALL, 23767, 0, 23767, 1465, 1465, 25232, 4.52, 4.00, 1.10
user40, 16, ResNet50, 24147, 0, 24147, 8094, 8094, 32241, 5.65, 7.85, 0.87
user41, 8, BERTLARGE, 24878, 0, 24878, 2043, 2043, 26921, 5.28, 7.68, 0.98
user42, 8, ResNeXt, 25025, 0, 25025, 2675, 2675, 27700, 5.46, 7.43, 1.08
user43, 16, ResNet50, 26550, 0, 26550, 7672, 7672, 34222, 4.85, 9.60, 0.99
user44, 8, ResNeXt, 26990, 0, 26990, 4101, 4101, 31091, 6.25, 6.87, 1.06
user45, 8, VGG19-I, 27653, 0, 27653, 1154, 1154, 28807, 5.04, 7.95, 1.07
user46, 8, ResNet50, 28831, 0, 28831, 1836, 1836, 30667, 6.80, 6.32, 1.55
user47, 16, ResNet50, 28851, 0, 28851, 4332, 4332, 33183, 5.46, 9.21, 1.15
user48, 1, ResNeXt, 29982, 0, 29982, 1025, 1025, 31007, 8.12, 1.00, 0.97
user49, 8, ResNeXt, 30115, 0, 30115, 2358, 2358, 32473, 6.16, 7.08, 1.29
user50, 1, VGG19-I, 30414, 0, 30414, 1407, 1407, 31821, 6.94, 1.00, 1.00
